Time,XGyro,YGyro,ZGyro,XAccel,YAccel,ZAccel,XMag,YMag,ZMag,lat,long,height
0.000,0.74,-1.20,1.25,-0.0079,0.1552,-1.1163,-2.1609,-0.0783,-2.7285,-33.953356,18.459104,184.300
0.000,2.20,-0.84,0.94,-0.0232,0.1686,-1.0807,-2.1785,-0.1055,-2.6639,-33.953400,18.459096,184.600
0.000,0.65,0.68,2.29,-0.0217,0.1573,-1.0695,-2.1112,-0.0730,-2.6323,-33.953448,18.459086,185.000
0.000,1.25,4.61,-0.72,-0.0553,0.1510,-1.1461,-2.1323,-0.0737,-2.6250,-33.953500,18.459072,185.300
0.000,0.09,-1.41,-2.04,-0.0103,0.1764,-1.1190,-2.1500,-0.0576,-2.5605,-33.953548,18.459060,185.500
0.000,0.14,-3.80,0.31,-0.0536,0.2821,-1.0954,-2.1598,-0.0572,-2.5893,-33.953600,18.459058,185.900
0.000,1.29,-0.38,-0.57,-0.0310,0.2574,-1.0823,-2.1779,-0.0741,-2.6368,-33.953652,18.459050,186.200
0.000,0.49,0.07,1.70,-0.0840,0.2191,-1.0897,-2.1408,-0.1063,-2.6029,-33.953696,18.459036,186.700
0.000,0.16,-0.90,0.64,-0.1149,0.1746,-1.1175,-2.1873,-0.0815,-2.5936,-33.953744,18.459034,187.100
0.000,1.62,11.99,1.31,-0.1118,0.1783,-1.1113,-2.1083,-0.0193,-2.5257,-33.953784,18.459030,187.500
0.000,-4.21,-4.01,0.26,-0.0186,0.1416,-1.0696,-2.1695,-0.0730,-2.5963,-33.953828,18.459038,187.900
0.000,-3.19,-2.21,-1.06,0.1439,0.1731,-1.0949,-2.1480,-0.0166,-2.6304,-33.953900,18.459032,188.300
0.000,-2.36,-3.37,-1.21,0.1320,0.1570,-1.1304,-2.0997,-0.0904,-2.4960,-33.953956,18.459010,188.600
0.000,-0.66,1.35,-0.21,0.0323,0.0981,-1.1728,-2.0912,-0.0848,-2.6279,-33.954008,18.458978,189.000
0.000,1.08,1.01,-0.42,-0.0141,0.1496,-0.9570,-2.1065,-0.0520,-2.6538,-33.954044,18.458956,189.500
0.000,4.90,-0.45,0.36,-0.0225,0.2099,-1.0797,-2.1417,-0.0826,-2.6520,-33.954088,18.458936,190.100
0.000,-1.12,-1.50,0.91,-0.0389,0.1384,-1.1367,-2.1852,-0.0594,-2.6007,-33.954136,18.458916,190.700
0.000,3.00,-0.59,2.32,0.0376,0.1973,-1.0897,-2.1185,-0.0709,-2.5604,-33.954180,18.458884,191.100
0.000,-3.46,-1.24,-4.59,-0.0301,0.0335,-1.1746,-2.1198,-0.1000,-2.5586,-33.954236,18.458850,191.500
0.000,-5.20,0.13,-3.23,0.0094,0.0420,-1.1911,-2.1716,-0.0965,-2.6493,-33.954288,18.458836,192.000
0.000,2.35,-1.10,0.07,-0.0592,0.1374,-0.9812,-2.2206,-0.1497,-2.5663,-33.954352,18.458784,192.000
0.000,0.33,-0.98,3.26,-0.0181,0.1981,-1.1008,-2.1978,-0.0268,-2.5530,-33.954420,18.458740,192.300
0.000,1.32,0.13,1.77,0.0094,0.1798,-1.1059,-2.1588,-0.0664,-2.5975,-33.954488,18.458706,192.800
0.000,0.44,-0.56,0.31,-0.0062,0.1948,-1.0912,-2.0952,-0.0605,-2.6118,-33.954556,18.458680,193.500
0.000,0.78,0.66,-0.10,0.0136,0.2021,-1.0877,-2.1094,-0.0819,-2.6029,-33.954624,18.458654,194.300
0.000,-0.81,-0.32,1.25,-0.0075,0.1392,-1.1083,-2.0848,0.0271,-2.5984,-33.954700,18.458622,194.600
0.000,0.06,0.71,1.16,-0.0882,0.1727,-1.0726,-2.1149,-0.0870,-2.6165,-33.954784,18.458600,195.200
0.000,0.25,-0.32,0.33,-0.0839,0.1674,-1.0877,-2.0697,0.0008,-2.5344,-33.954856,18.458590,195.200
0.000,4.33,0.41,0.48,-0.0648,0.1836,-1.0746,-2.0724,-0.0653,-2.5227,-33.954928,18.458588,195.800
0.000,0.92,0.62,1.55,0.0529,0.1378,-1.0977,-2.1000,-0.0596,-2.5900,-33.954988,18.458562,196.500
0.000,-1.14,0.25,3.75,0.0740,0.1403,-1.1268,-2.0553,-0.0983,-2.6136,-33.955044,18.458542,197.400
0.000,-2.73,0.31,2.53,0.0346,0.0986,-1.1213,-2.0281,-0.0251,-2.5711,-33.955100,18.458516,197.200
0.000,-0.78,2.94,3.29,0.0038,0.1710,-1.1147,-2.0197,0.0370,-2.5968,-33.955172,18.458490,197.900
0.000,1.63,-1.40,-0.56,0.0564,0.1433,-1.0630,-1.9804,0.0413,-2.5798,-33.955252,18.458478,198.500
0.000,-0.42,-0.47,0.92,-0.0465,0.1543,-1.0813,-2.0139,0.0136,-2.5830,-33.955340,18.458446,198.900
0.000,0.55,0.07,0.09,-0.0013,0.1373,-1.1042,-1.9604,0.0145,-2.5848,-33.955416,18.458400,199.100
0.000,-0.18,-1.44,-0.52,0.0300,0.1232,-1.1288,-1.9846,-0.0505,-2.5873,-33.955492,18.458358,199.500
0.000,0.95,-4.28,0.21,0.0207,0.0938,-1.0998,-1.9564,0.0359,-2.5590,-33.955560,18.458312,199.700
0.000,-0.17,-1.72,0.06,-0.0079,0.1343,-1.1233,-1.9940,0.0981,-2.5626,-33.955632,18.458262,199.700
0.000,1.19,-1.59,-0.88,-0.0071,0.1323,-1.1299,-2.0093,0.0218,-2.5815,-33.955688,18.458196,199.900
0.000,0.44,2.80,-0.64,-0.0193,0.1226,-1.0714,-2.0054,0.0399,-2.6661,-33.955752,18.458142,199.900
0.000,1.54,-2.19,-0.82,0.0766,0.1053,-1.0891,-2.0162,-0.0234,-2.6446,-33.955820,18.458094,199.900
0.000,1.66,0.29,-0.42,-0.0233,0.1032,-1.0820,-2.0287,-0.0376,-2.6203,-33.955892,18.458042,199.700
0.000,-1.29,-0.17,-0.30,-0.0519,0.1042,-1.1007,-2.0137,0.0136,-2.5951,-33.955960,18.457992,199.500
0.000,0.37,0.37,0.36,0.0512,0.1136,-1.0845,-1.9741,0.0303,-2.5420,-33.956024,18.457938,199.300
0.000,-3.38,1.17,1.50,-0.0300,0.1389,-1.1105,-2.0856,0.0456,-2.6692,-33.956056,18.457936,199.600
0.000,-2.82,-0.56,-0.02,0.0332,0.1370,-1.1235,-1.9931,0.0507,-2.5553,-33.956092,18.457878,199.400
0.000,-0.51,2.30,-2.55,-0.0538,0.0976,-1.1099,-1.9958,0.0793,-2.5526,-33.956164,18.457818,199.000
0.000,-0.34,2.03,-1.81,-0.0748,0.1257,-1.0810,-2.0302,0.0340,-2.5945,-33.956240,18.457760,198.600
0.000,1.00,-0.08,0.56,-0.0767,0.1765,-1.0538,-2.0144,0.0444,-2.6006,-33.956308,18.457702,198.100
